pair_id,contrast,class_name,feature,distance
P001,client_browser,arin.net,direction,0.0129233455821
P001,client_browser,arin.net,iat_us,0.121346830163
P001,client_browser,arin.net,ip_total_length_bytes,0.12251874373
P001,client_browser,arin.net,ipv4_ttl,2.22044604925e-16
P001,client_browser,arin.net,tcp_flag_pattern,0.025137431999
P001,client_browser,arin.net,tcp_window_raw,0.118596207623
P001,client_browser,adblockplus.org,direction,0.035953964507
P001,client_browser,adblockplus.org,iat_us,0.186002905516
P001,client_browser,adblockplus.org,ip_total_length_bytes,0.240500994676
P001,client_browser,adblockplus.org,ipv4_ttl,1.46549439251e-14
P001,client_browser,adblockplus.org,tcp_flag_pattern,0.00984226394143
P001,client_browser,adblockplus.org,tcp_window_raw,0.0238482384824
P001,client_browser,flipboard.com,direction,0.0207675998239
P001,client_browser,flipboard.com,iat_us,0.0749760633107
P001,client_browser,flipboard.com,ip_total_length_bytes,0.101453876518
P001,client_browser,flipboard.com,ipv4_ttl,3.99680288865e-15
P001,client_browser,flipboard.com,tcp_flag_pattern,0.000698662097666
P001,client_browser,flipboard.com,tcp_window_raw,0.0022624928915
P001,client_browser,garmin.com,direction,0.00651649188358
P001,client_browser,garmin.com,iat_us,0.0570191798809
P001,client_browser,garmin.com,ip_total_length_bytes,0.065459199507
P001,client_browser,garmin.com,ipv4_ttl,2.12052597703e-14
P001,client_browser,garmin.com,tcp_flag_pattern,0.01661525099
P001,client_browser,garmin.com,tcp_window_raw,0.0125144952468
P001,client_browser,getpocket.com,direction,0.0192606640247
P001,client_browser,getpocket.com,iat_us,0.11222168708
P001,client_browser,getpocket.com,ip_total_length_bytes,0.143565327407
P001,client_browser,getpocket.com,ipv4_ttl,8.881784197e-15
P001,client_browser,getpocket.com,tcp_flag_pattern,0.0205773123366
P001,client_browser,getpocket.com,tcp_window_raw,0.00111111111111
P001,client_browser,joinhoney.com,direction,0.00198927325963
P001,client_browser,joinhoney.com,iat_us,0.0676595232638
P001,client_browser,joinhoney.com,ip_total_length_bytes,0.0516930467663
P001,client_browser,joinhoney.com,ipv4_ttl,1.55431223448e-15
P001,client_browser,joinhoney.com,tcp_flag_pattern,0.00290255072514
P001,client_browser,joinhoney.com,tcp_window_raw,0.012380952381
P001,client_browser,trustarc.com,direction,0.0202789615355
P001,client_browser,trustarc.com,iat_us,0.167978655645
P001,client_browser,trustarc.com,ip_total_length_bytes,0.115086006973
