contrast,feature,heldout_mean,all_sessions_mean,mean_difference_all_minus_heldout,heldout_median,all_sessions_median,median_difference_all_minus_heldout,median_ratio_all_over_heldout,rank_scope,heldout_rank,all_sessions_rank,feature_rank_spearman_rho,heldout_top3,all_sessions_top3,top3_overlap_count
client_browser,frame_length_bytes,0.10948791067,0.106533600563,-0.00295431010627,0.0908466540118,0.0951962018721,0.0043495478603,1.04787790929,not_applicable_redundant_size_field,,,1,false,false,3
client_browser,ip_total_length_bytes,0.10948791067,0.106533600563,-0.00295431010627,0.0908466540118,0.0951962018721,0.0043495478603,1.04787790929,six_nonredundant_characteristics,1,1,1,true,true,3
client_browser,tcp_payload_length_bytes,0.10948791067,0.106533600563,-0.00295431010627,0.0908466540118,0.0951962018721,0.0043495478603,1.04787790929,not_applicable_redundant_size_field,,,1,false,false,3
client_browser,ipv4_ttl,0.0823822365348,0.0809731134955,-0.0014091230393,0.00660472319009,0.00459662260212,-0.00200810058797,0.69595991684,six_nonredundant_characteristics,6,6,1,false,false,3
client_browser,tcp_window_raw,0.0340112231178,0.0327062733703,-0.00130494974749,0.022312023757,0.0206462734751,-0.00166575028194,0.925342931682,six_nonredundant_characteristics,3,3,1,true,true,3
client_browser,iat_us,0.100423404636,0.0968628793373,-0.00356052529885,0.0770293036966,0.0823920697107,0.00536276601404,1.06961981683,six_nonredundant_characteristics,2,2,1,true,true,3
client_browser,direction,0.0219991324895,0.0204850160039,-0.00151411648562,0.0136045299339,0.0106961130145,-0.00290841691942,0.786217022304,six_nonredundant_characteristics,5,5,1,false,false,3
client_browser,tcp_flag_pattern,0.0277789335374,0.0282971272725,0.000518193735134,0.0206101864898,0.0156234535024,-0.00498673298743,0.758045227301,six_nonredundant_characteristics,4,4,1,false,false,3
client_os,frame_length_bytes,0.294072823761,0.29755469206,0.00348186829963,0.277464976163,0.283602951383,0.00613797522011,1.02212162164,not_applicable_redundant_size_field,,,1,false,false,3
client_os,ip_total_length_bytes,0.294072823761,0.29755469206,0.00348186829963,0.277464976163,0.283602951383,0.00613797522011,1.02212162164,six_nonredundant_characteristics,2,2,1,true,true,3
client_os,tcp_payload_length_bytes,0.294072823761,0.29755469206,0.00348186829963,0.277464976163,0.283602951383,0.00613797522011,1.02212162164,not_applicable_redundant_size_field,,,1,false,false,3
client_os,ipv4_ttl,0.249166111724,0.248951692243,-0.000214419481233,0.241684410061,0.241014126111,-0.000670283950038,0.997226614866,six_nonredundant_characteristics,3,3,1,true,true,3
client_os,tcp_window_raw,0.0791030733791,0.072105981534,-0.00699709184513,0.0722201846079,0.0654840055459,-0.00673617906195,0.906727196856,six_nonredundant_characteristics,6,6,1,false,false,3
client_os,iat_us,0.415012040203,0.414203880796,-0.000808159406881,0.43797952132,0.430779245119,-0.00720027620085,0.9835602446,six_nonredundant_characteristics,1,1,1,true,true,3
client_os,direction,0.194914304346,0.196142980629,0.00122867628294,0.199368082394,0.201949329782,0.00258124738767,1.01294714458,six_nonredundant_characteristics,4,4,1,false,false,3
client_os,tcp_flag_pattern,0.142924850931,0.146082804236,0.00315795330563,0.153234799997,0.15667542086,0.00344062086284,1.02245326037,six_nonredundant_characteristics,5,5,1,false,false,3
client_browser_and_os,frame_length_bytes,0.295436092047,0.298724040423,0.00328794837672,0.279739275592,0.296257641925,0.0165183663331,1.0590491496,not_applicable_redundant_size_field,,,1,false,false,3
client_browser_and_os,ip_total_length_bytes,0.295436092047,0.298724040423,0.00328794837672,0.279739275592,0.296257641925,0.0165183663331,1.0590491496,six_nonredundant_characteristics,2,2,1,true,true,3
client_browser_and_os,tcp_payload_length_bytes,0.295436092047,0.298724040423,0.00328794837672,0.279739275592,0.296257641925,0.0165183663331,1.0590491496,not_applicable_redundant_size_field,,,1,false,false,3
client_browser_and_os,ipv4_ttl,0.29289511197,0.291901907783,-0.00099320418777,0.246378368258,0.244048192632,-0.0023301756253,0.9905422881,six_nonredundant_characteristics,3,3,1,true,true,3
client_browser_and_os,tcp_window_raw,0.0791589209977,0.0732935346048,-0.00586538639296,0.0762076633864,0.0739591560201,-0.00224850736629,0.970494996614,six_nonredundant_characteristics,6,6,1,false,false,3
client_browser_and_os,iat_us,0.416041268034,0.415378897323,-0.00066237071073,0.436696308982,0.428982041156,-0.0077142678265,0.982334936962,six_nonredundant_characteristics,1,1,1,true,true,3
client_browser_and_os,direction,0.194914304346,0.196142980629,0.00122867628294,0.202270387048,0.200967990571,-0.00130239647653,0.993561111463,six_nonredundant_characteristics,4,4,1,false,false,3
client_browser_and_os,tcp_flag_pattern,0.146111068507,0.149011695721,0.0029006272137,0.14723465167,0.147808228279,0.000573576609102,1.00389566316,six_nonredundant_characteristics,5,5,1,false,false,3
network,frame_length_bytes,0.0982550540621,0.0976681421387,-0.000586911923418,0.0891271020153,0.0867830536778,-0.00234404833752,0.973699937679,not_applicable_redundant_size_field,,,1,false,false,3
network,ip_total_length_bytes,0.0982550540621,0.0976681421387,-0.000586911923418,0.0891271020153,0.0867830536778,-0.00234404833752,0.973699937679,six_nonredundant_characteristics,2,2,1,true,true,3
network,tcp_payload_length_bytes,0.0982550540621,0.0976681421387,-0.000586911923418,0.0891271020153,0.0867830536778,-0.00234404833752,0.973699937679,not_applicable_redundant_size_field,,,1,false,false,3
network,ipv4_ttl,0.0830604068081,0.0825944380105,-0.000465968797584,0.0130833010711,0.0091833975645,-0.00389990350661,0.701917468274,six_nonredundant_characteristics,6,6,1,false,false,3
network,tcp_window_raw,0.0290675573045,0.0270411657361,-0.0020263915684,0.0214114114114,0.0187214939293,-0.00268991748208,0.874369912829,six_nonredundant_characteristics,4,4,1,false,false,3
network,iat_us,0.123890744602,0.12083711039,-0.00305363421247,0.11685544281,0.108355520861,-0.00849992194888,0.927261223401,six_nonredundant_characteristics,1,1,1,true,true,3
network,direction,0.0214544594984,0.0211774619118,-0.000276997586612,0.0137311260332,0.01218057087,-0.0015505551632,0.887077348249,six_nonredundant_characteristics,5,5,1,false,false,3
network,tcp_flag_pattern,0.0441551847036,0.0436313332146,-0.000523851489044,0.0322827903125,0.0321800103783,-0.00010277993417,0.996816262375,six_nonredundant_characteristics,3,3,1,true,true,3
