feature,contrast,position,count,mean,median,q25,q75,iqr,maximum,minimum_sessions_per_arm,median_minimum_sessions_per_arm
direction,client_browser,1,40,0.0248412698413,0,0,0,0,0.466666666667,35,45
direction,client_browser,2,40,0.0584746418893,0.0222222222222,0,0.0714285714286,0.0714285714286,0.377777777778,35,45
direction,client_browser,3,40,0.0712814556717,0.0444444444444,0.0222222222222,0.111111111111,0.0888888888889,0.377777777778,35,45
direction,client_browser,4,40,0.125385210995,0.0857142857143,0.0222222222222,0.161111111111,0.138888888889,0.577777777778,35,45
direction,client_browser,5,40,0.170532326752,0.163143631436,0.0825783972125,0.227777777778,0.145199380565,0.488888888889,35,45
direction,client_browser,6,40,0.120708478513,0.0794425087108,0.0388888888889,0.161111111111,0.122222222222,0.6,35,45
direction,client_browser,7,40,0.1389585753,0.0794425087108,0.0444444444444,0.205555555556,0.161111111111,0.555555555556,35,45
direction,client_browser,8,40,0.138844367015,0.1,0.0539682539683,0.205555555556,0.151587301587,0.533333333333,35,45
direction,client_browser,9,40,0.127469644177,0.0888888888889,0.0444444444444,0.177777777778,0.133333333333,0.466666666667,35,45
direction,client_browser,10,40,0.162643068314,0.112698412698,0.0285714285714,0.2,0.171428571429,0.8,33,45
direction,client_browser,11,40,0.142339359139,0.0888888888889,0.0444444444444,0.227777777778,0.183333333333,0.488888888889,29,45
direction,client_browser,12,40,0.175229587287,0.152032520325,0.0666666666667,0.222222222222,0.155555555556,0.688888888889,21,45
direction,client_browser,13,40,0.176238905248,0.133333333333,0.0809523809524,0.222222222222,0.14126984127,0.8,20,45
direction,client_browser,14,40,0.170850266346,0.142857142857,0.0666666666667,0.227777777778,0.161111111111,0.822222222222,20,45
direction,client_browser,15,40,0.160246895086,0.122222222222,0.0571428571429,0.225757575758,0.168614718615,0.8,20,45
direction,client_browser,16,40,0.152213540245,0.133333333333,0.0502583979328,0.2,0.149741602067,0.777777777778,19,45
direction,client_browser,17,40,0.148755873769,0.101587301587,0.0444444444444,0.183333333333,0.138888888889,0.777777777778,16,45
direction,client_browser,18,40,0.180485553199,0.155218855219,0.0666666666667,0.244444444444,0.177777777778,0.711111111111,16,45
direction,client_browser,19,40,0.15589017512,0.0967330740118,0.0444444444444,0.20487804878,0.160433604336,0.733333333333,16,45
